rank,algorithm,trial_index,trial_name,summary_path,final_score,design_count,variant_label,compare_aggregate_csv,compare_details_csv,cpuct,mu-discount,search-iterations,seed,sequence-length,episodes,steps,ucb-c
8,baseline_mab,18,trial_018__and_weight=0.5__episodes=20__lev_weight=0.2__seed=7__steps=10__ucb_c=1.0,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_018__and_weight=0.5__episodes=20__lev_weight=0.2__seed=7__steps=10__ucb_c=1.0/workdir/results/baseline_mab/summary.csv,285.2,30,"steps=10,iters=20,ucb_c=1.0,seed=7",/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_018__and_weight=0.5__episodes=20__lev_weight=0.2__seed=7__steps=10__ucb_c=1.0/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_018__and_weight=0.5__episodes=20__lev_weight=0.2__seed=7__steps=10__ucb_c=1.0/compare/details.csv,,,,7,,20,10,1.0
9,baseline_mab,19,trial_019__and_weight=0.5__episodes=20__lev_weight=0.2__seed=8__steps=10__ucb_c=1.0,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_019__and_weight=0.5__episodes=20__lev_weight=0.2__seed=8__steps=10__ucb_c=1.0/workdir/results/baseline_mab/summary.csv,285.2,30,"steps=10,iters=20,ucb_c=1.0,seed=8",/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_019__and_weight=0.5__episodes=20__lev_weight=0.2__seed=8__steps=10__ucb_c=1.0/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_019__and_weight=0.5__episodes=20__lev_weight=0.2__seed=8__steps=10__ucb_c=1.0/compare/details.csv,,,,8,,20,10,1.0
10,baseline_mab,15,trial_015__and_weight=0.5__episodes=20__lev_weight=0.2__seed=4__steps=10__ucb_c=1.0,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_015__and_weight=0.5__episodes=20__lev_weight=0.2__seed=4__steps=10__ucb_c=1.0/workdir/results/baseline_mab/summary.csv,285.1,30,"steps=10,iters=20,ucb_c=1.0,seed=4",/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_015__and_weight=0.5__episodes=20__lev_weight=0.2__seed=4__steps=10__ucb_c=1.0/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_015__and_weight=0.5__episodes=20__lev_weight=0.2__seed=4__steps=10__ucb_c=1.0/compare/details.csv,,,,4,,20,10,1.0
11,baseline_mab,25,trial_025__and_weight=0.5__episodes=20__lev_weight=0.2__seed=4__steps=10__ucb_c=1.5,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_025__and_weight=0.5__episodes=20__lev_weight=0.2__seed=4__steps=10__ucb_c=1.5/workdir/results/baseline_mab/summary.csv,285.1,30,"steps=10,iters=20,ucb_c=1.5,seed=4",/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_025__and_weight=0.5__episodes=20__lev_weight=0.2__seed=4__steps=10__ucb_c=1.5/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_025__and_weight=0.5__episodes=20__lev_weight=0.2__seed=4__steps=10__ucb_c=1.5/compare/details.csv,,,,4,,20,10,1.5
12,baseline_mab,1,trial_001__and_weight=0.5__episodes=20__lev_weight=0.2__seed=0__steps=10__ucb_c=0.4,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_001__and_weight=0.5__episodes=20__lev_weight=0.2__seed=0__steps=10__ucb_c=0.4/workdir/results/baseline_mab/summary.csv,285.0,30,"steps=10,iters=20,ucb_c=0.4,seed=0",/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_001__and_weight=0.5__episodes=20__lev_weight=0.2__seed=0__steps=10__ucb_c=0.4/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_001__and_weight=0.5__episodes=20__lev_weight=0.2__seed=0__steps=10__ucb_c=0.4/compare/details.csv,,,,0,,20,10,0.4
13,baseline_mab,28,trial_028__and_weight=0.5__episodes=20__lev_weight=0.2__seed=7__steps=10__ucb_c=1.5,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_028__and_weight=0.5__episodes=20__lev_weight=0.2__seed=7__steps=10__ucb_c=1.5/workdir/results/baseline_mab/summary.csv,284.90000000000003,30,"steps=10,iters=20,ucb_c=1.5,seed=7",/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_028__and_weight=0.5__episodes=20__lev_weight=0.2__seed=7__steps=10__ucb_c=1.5/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_028__and_weight=0.5__episodes=20__lev_weight=0.2__seed=7__steps=10__ucb_c=1.5/compare/details.csv,,,,7,,20,10,1.5
14,baseline_mab,6,trial_006__and_weight=0.5__episodes=20__lev_weight=0.2__seed=5__steps=10__ucb_c=0.4,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_006__and_weight=0.5__episodes=20__lev_weight=0.2__seed=5__steps=10__ucb_c=0.4/workdir/results/baseline_mab/summary.csv,284.8,30,"steps=10,iters=20,ucb_c=0.4,seed=5",/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_006__and_weight=0.5__episodes=20__lev_weight=0.2__seed=5__steps=10__ucb_c=0.4/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_006__and_weight=0.5__episodes=20__lev_weight=0.2__seed=5__steps=10__ucb_c=0.4/compare/details.csv,,,,5,,20,10,0.4
15,baseline_mab,9,trial_009__and_weight=0.5__episodes=20__lev_weight=0.2__seed=8__steps=10__ucb_c=0.4,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_009__and_weight=0.5__episodes=20__lev_weight=0.2__seed=8__steps=10__ucb_c=0.4/workdir/results/baseline_mab/summary.csv,284.8,30,"steps=10,iters=20,ucb_c=0.4,seed=8",/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_009__and_weight=0.5__episodes=20__lev_weight=0.2__seed=8__steps=10__ucb_c=0.4/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_009__and_weight=0.5__episodes=20__lev_weight=0.2__seed=8__steps=10__ucb_c=0.4/compare/details.csv,,,,8,,20,10,0.4
16,baseline_mab,24,trial_024__and_weight=0.5__episodes=20__lev_weight=0.2__seed=3__steps=10__ucb_c=1.5,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_024__and_weight=0.5__episodes=20__lev_weight=0.2__seed=3__steps=10__ucb_c=1.5/workdir/results/baseline_mab/summary.csv,284.8,30,"steps=10,iters=20,ucb_c=1.5,seed=3",/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_024__and_weight=0.5__episodes=20__lev_weight=0.2__seed=3__steps=10__ucb_c=1.5/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_024__and_weight=0.5__episodes=20__lev_weight=0.2__seed=3__steps=10__ucb_c=1.5/compare/details.csv,,,,3,,20,10,1.5
17,baseline_mab,29,trial_029__and_weight=0.5__episodes=20__lev_weight=0.2__seed=8__steps=10__ucb_c=1.5,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_029__and_weight=0.5__episodes=20__lev_weight=0.2__seed=8__steps=10__ucb_c=1.5/workdir/results/baseline_mab/summary.csv,284.6,30,"steps=10,iters=20,ucb_c=1.5,seed=8",/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_029__and_weight=0.5__episodes=20__lev_weight=0.2__seed=8__steps=10__ucb_c=1.5/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_029__and_weight=0.5__episodes=20__lev_weight=0.2__seed=8__steps=10__ucb_c=1.5/compare/details.csv,,,,8,,20,10,1.5
18,baseline_mab,30,trial_030__and_weight=0.5__episodes=20__lev_weight=0.2__seed=9__steps=10__ucb_c=1.5,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_030__and_weight=0.5__episodes=20__lev_weight=0.2__seed=9__steps=10__ucb_c=1.5/workdir/results/baseline_mab/summary.csv,284.6,30,"steps=10,iters=20,ucb_c=1.5,seed=9",/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_030__and_weight=0.5__episodes=20__lev_weight=0.2__seed=9__steps=10__ucb_c=1.5/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_030__and_weight=0.5__episodes=20__lev_weight=0.2__seed=9__steps=10__ucb_c=1.5/compare/details.csv,,,,9,,20,10,1.5
19,baseline_mab,26,trial_026__and_weight=0.5__episodes=20__lev_weight=0.2__seed=5__steps=10__ucb_c=1.5,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_026__and_weight=0.5__episodes=20__lev_weight=0.2__seed=5__steps=10__ucb_c=1.5/workdir/results/baseline_mab/summary.csv,284.5,30,"steps=10,iters=20,ucb_c=1.5,seed=5",/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_026__and_weight=0.5__episodes=20__lev_weight=0.2__seed=5__steps=10__ucb_c=1.5/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_026__and_weight=0.5__episodes=20__lev_weight=0.2__seed=5__steps=10__ucb_c=1.5/compare/details.csv,,,,5,,20,10,1.5
20,baseline_mab,27,trial_027__and_weight=0.5__episodes=20__lev_weight=0.2__seed=6__steps=10__ucb_c=1.5,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_027__and_weight=0.5__episodes=20__lev_weight=0.2__seed=6__steps=10__ucb_c=1.5/workdir/results/baseline_mab/summary.csv,284.40000000000003,30,"steps=10,iters=20,ucb_c=1.5,seed=6",/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_027__and_weight=0.5__episodes=20__lev_weight=0.2__seed=6__steps=10__ucb_c=1.5/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_027__and_weight=0.5__episodes=20__lev_weight=0.2__seed=6__steps=10__ucb_c=1.5/compare/details.csv,,,,6,,20,10,1.5
21,baseline_mab,14,trial_014__and_weight=0.5__episodes=20__lev_weight=0.2__seed=3__steps=10__ucb_c=1.0,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_014__and_weight=0.5__episodes=20__lev_weight=0.2__seed=3__steps=10__ucb_c=1.0/workdir/results/baseline_mab/summary.csv,284.4,30,"steps=10,iters=20,ucb_c=1.0,seed=3",/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_014__and_weight=0.5__episodes=20__lev_weight=0.2__seed=3__steps=10__ucb_c=1.0/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_014__and_weight=0.5__episodes=20__lev_weight=0.2__seed=3__steps=10__ucb_c=1.0/compare/details.csv,,,,3,,20,10,1.0
22,baseline_mab,8,trial_008__and_weight=0.5__episodes=20__lev_weight=0.2__seed=7__steps=10__ucb_c=0.4,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_008__and_weight=0.5__episodes=20__lev_weight=0.2__seed=7__steps=10__ucb_c=0.4/workdir/results/baseline_mab/summary.csv,284.2,30,"steps=10,iters=20,ucb_c=0.4,seed=7",/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_008__and_weight=0.5__episodes=20__lev_weight=0.2__seed=7__steps=10__ucb_c=0.4/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_008__and_weight=0.5__episodes=20__lev_weight=0.2__seed=7__steps=10__ucb_c=0.4/compare/details.csv,,,,7,,20,10,0.4
23,baseline_mab,10,trial_010__and_weight=0.5__episodes=20__lev_weight=0.2__seed=9__steps=10__ucb_c=0.4,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_010__and_weight=0.5__episodes=20__lev_weight=0.2__seed=9__steps=10__ucb_c=0.4/workdir/results/baseline_mab/summary.csv,284.0,30,"steps=10,iters=20,ucb_c=0.4,seed=9",/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_010__and_weight=0.5__episodes=20__lev_weight=0.2__seed=9__steps=10__ucb_c=0.4/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_010__and_weight=0.5__episodes=20__lev_weight=0.2__seed=9__steps=10__ucb_c=0.4/compare/details.csv,,,,9,,20,10,0.4
24,baseline_mab,23,trial_023__and_weight=0.5__episodes=20__lev_weight=0.2__seed=2__steps=10__ucb_c=1.5,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_023__and_weight=0.5__episodes=20__lev_weight=0.2__seed=2__steps=10__ucb_c=1.5/workdir/results/baseline_mab/summary.csv,284.0,30,"steps=10,iters=20,ucb_c=1.5,seed=2",/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_023__and_weight=0.5__episodes=20__lev_weight=0.2__seed=2__steps=10__ucb_c=1.5/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_023__and_weight=0.5__episodes=20__lev_weight=0.2__seed=2__steps=10__ucb_c=1.5/compare/details.csv,,,,2,,20,10,1.5
25,baseline_mab,3,trial_003__and_weight=0.5__episodes=20__lev_weight=0.2__seed=2__steps=10__ucb_c=0.4,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_003__and_weight=0.5__episodes=20__lev_weight=0.2__seed=2__steps=10__ucb_c=0.4/workdir/results/baseline_mab/summary.csv,283.8,30,"steps=10,iters=20,ucb_c=0.4,seed=2",/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_003__and_weight=0.5__episodes=20__lev_weight=0.2__seed=2__steps=10__ucb_c=0.4/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_003__and_weight=0.5__episodes=20__lev_weight=0.2__seed=2__steps=10__ucb_c=0.4/compare/details.csv,,,,2,,20,10,0.4
26,baseline_mab,4,trial_004__and_weight=0.5__episodes=20__lev_weight=0.2__seed=3__steps=10__ucb_c=0.4,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_004__and_weight=0.5__episodes=20__lev_weight=0.2__seed=3__steps=10__ucb_c=0.4/workdir/results/baseline_mab/summary.csv,283.8,30,"steps=10,iters=20,ucb_c=0.4,seed=3",/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_004__and_weight=0.5__episodes=20__lev_weight=0.2__seed=3__steps=10__ucb_c=0.4/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_004__and_weight=0.5__episodes=20__lev_weight=0.2__seed=3__steps=10__ucb_c=0.4/compare/details.csv,,,,3,,20,10,0.4
27,baseline_mab,5,trial_005__and_weight=0.5__episodes=20__lev_weight=0.2__seed=4__steps=10__ucb_c=0.4,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_005__and_weight=0.5__episodes=20__lev_weight=0.2__seed=4__steps=10__ucb_c=0.4/workdir/results/baseline_mab/summary.csv,283.3,30,"steps=10,iters=20,ucb_c=0.4,seed=4",/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_005__and_weight=0.5__episodes=20__lev_weight=0.2__seed=4__steps=10__ucb_c=0.4/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_005__and_weight=0.5__episodes=20__lev_weight=0.2__seed=4__steps=10__ucb_c=0.4/compare/details.csv,,,,4,,20,10,0.4
28,baseline_mab,13,trial_013__and_weight=0.5__episodes=20__lev_weight=0.2__seed=2__steps=10__ucb_c=1.0,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_013__and_weight=0.5__episodes=20__lev_weight=0.2__seed=2__steps=10__ucb_c=1.0/workdir/results/baseline_mab/summary.csv,283.3,30,"steps=10,iters=20,ucb_c=1.0,seed=2",/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_013__and_weight=0.5__episodes=20__lev_weight=0.2__seed=2__steps=10__ucb_c=1.0/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_013__and_weight=0.5__episodes=20__lev_weight=0.2__seed=2__steps=10__ucb_c=1.0/compare/details.csv,,,,2,,20,10,1.0
29,baseline_mab,21,trial_021__and_weight=0.5__episodes=20__lev_weight=0.2__seed=0__steps=10__ucb_c=1.5,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_021__and_weight=0.5__episodes=20__lev_weight=0.2__seed=0__steps=10__ucb_c=1.5/workdir/results/baseline_mab/summary.csv,283.0,30,"steps=10,iters=20,ucb_c=1.5,seed=0",/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_021__and_weight=0.5__episodes=20__lev_weight=0.2__seed=0__steps=10__ucb_c=1.5/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_021__and_weight=0.5__episodes=20__lev_weight=0.2__seed=0__steps=10__ucb_c=1.5/compare/details.csv,,,,0,,20,10,1.5
30,baseline_mab,7,trial_007__and_weight=0.5__episodes=20__lev_weight=0.2__seed=6__steps=10__ucb_c=0.4,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_007__and_weight=0.5__episodes=20__lev_weight=0.2__seed=6__steps=10__ucb_c=0.4/workdir/results/baseline_mab/summary.csv,281.9,30,"steps=10,iters=20,ucb_c=0.4,seed=6",/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_007__and_weight=0.5__episodes=20__lev_weight=0.2__seed=6__steps=10__ucb_c=0.4/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab/trials/trial_007__and_weight=0.5__episodes=20__lev_weight=0.2__seed=6__steps=10__ucb_c=0.4/compare/details.csv,,,,6,,20,10,0.4
1,baseline_mab_prefix,30,trial_030__and_weight=0.5__episodes=20__lev_weight=0.2__seed=9__steps=10__ucb_c=0.8,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_030__and_weight=0.5__episodes=20__lev_weight=0.2__seed=9__steps=10__ucb_c=0.8/workdir/results/baseline_mab_prefix/summary.csv,284.2,30,"steps=10,iters=20,ucb_c=0.8,seed=9",/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_030__and_weight=0.5__episodes=20__lev_weight=0.2__seed=9__steps=10__ucb_c=0.8/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_030__and_weight=0.5__episodes=20__lev_weight=0.2__seed=9__steps=10__ucb_c=0.8/compare/details.csv,,,,9,,20,10,0.8
2,baseline_mab_prefix,11,trial_011__and_weight=0.5__episodes=20__lev_weight=0.2__seed=0__steps=10__ucb_c=0.4,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_011__and_weight=0.5__episodes=20__lev_weight=0.2__seed=0__steps=10__ucb_c=0.4/workdir/results/baseline_mab_prefix/summary.csv,284.09999999999997,30,"steps=10,iters=20,ucb_c=0.4,seed=0",/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_011__and_weight=0.5__episodes=20__lev_weight=0.2__seed=0__steps=10__ucb_c=0.4/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_011__and_weight=0.5__episodes=20__lev_weight=0.2__seed=0__steps=10__ucb_c=0.4/compare/details.csv,,,,0,,20,10,0.4
3,baseline_mab_prefix,4,trial_004__and_weight=0.5__episodes=20__lev_weight=0.2__seed=3__steps=10__ucb_c=0.2,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_004__and_weight=0.5__episodes=20__lev_weight=0.2__seed=3__steps=10__ucb_c=0.2/workdir/results/baseline_mab_prefix/summary.csv,284.0,30,"steps=10,iters=20,ucb_c=0.2,seed=3",/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_004__and_weight=0.5__episodes=20__lev_weight=0.2__seed=3__steps=10__ucb_c=0.2/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_004__and_weight=0.5__episodes=20__lev_weight=0.2__seed=3__steps=10__ucb_c=0.2/compare/details.csv,,,,3,,20,10,0.2
4,baseline_mab_prefix,20,trial_020__and_weight=0.5__episodes=20__lev_weight=0.2__seed=9__steps=10__ucb_c=0.4,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_020__and_weight=0.5__episodes=20__lev_weight=0.2__seed=9__steps=10__ucb_c=0.4/workdir/results/baseline_mab_prefix/summary.csv,283.9,30,"steps=10,iters=20,ucb_c=0.4,seed=9",/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_020__and_weight=0.5__episodes=20__lev_weight=0.2__seed=9__steps=10__ucb_c=0.4/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_020__and_weight=0.5__episodes=20__lev_weight=0.2__seed=9__steps=10__ucb_c=0.4/compare/details.csv,,,,9,,20,10,0.4
5,baseline_mab_prefix,29,trial_029__and_weight=0.5__episodes=20__lev_weight=0.2__seed=8__steps=10__ucb_c=0.8,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_029__and_weight=0.5__episodes=20__lev_weight=0.2__seed=8__steps=10__ucb_c=0.8/workdir/results/baseline_mab_prefix/summary.csv,283.9,30,"steps=10,iters=20,ucb_c=0.8,seed=8",/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_029__and_weight=0.5__episodes=20__lev_weight=0.2__seed=8__steps=10__ucb_c=0.8/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_029__and_weight=0.5__episodes=20__lev_weight=0.2__seed=8__steps=10__ucb_c=0.8/compare/details.csv,,,,8,,20,10,0.8
6,baseline_mab_prefix,6,trial_006__and_weight=0.5__episodes=20__lev_weight=0.2__seed=5__steps=10__ucb_c=0.2,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_006__and_weight=0.5__episodes=20__lev_weight=0.2__seed=5__steps=10__ucb_c=0.2/workdir/results/baseline_mab_prefix/summary.csv,283.7,30,"steps=10,iters=20,ucb_c=0.2,seed=5",/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_006__and_weight=0.5__episodes=20__lev_weight=0.2__seed=5__steps=10__ucb_c=0.2/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_006__and_weight=0.5__episodes=20__lev_weight=0.2__seed=5__steps=10__ucb_c=0.2/compare/details.csv,,,,5,,20,10,0.2
7,baseline_mab_prefix,14,trial_014__and_weight=0.5__episodes=20__lev_weight=0.2__seed=3__steps=10__ucb_c=0.4,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_014__and_weight=0.5__episodes=20__lev_weight=0.2__seed=3__steps=10__ucb_c=0.4/workdir/results/baseline_mab_prefix/summary.csv,283.7,30,"steps=10,iters=20,ucb_c=0.4,seed=3",/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_014__and_weight=0.5__episodes=20__lev_weight=0.2__seed=3__steps=10__ucb_c=0.4/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_014__and_weight=0.5__episodes=20__lev_weight=0.2__seed=3__steps=10__ucb_c=0.4/compare/details.csv,,,,3,,20,10,0.4
8,baseline_mab_prefix,17,trial_017__and_weight=0.5__episodes=20__lev_weight=0.2__seed=6__steps=10__ucb_c=0.4,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_017__and_weight=0.5__episodes=20__lev_weight=0.2__seed=6__steps=10__ucb_c=0.4/workdir/results/baseline_mab_prefix/summary.csv,283.7,30,"steps=10,iters=20,ucb_c=0.4,seed=6",/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_017__and_weight=0.5__episodes=20__lev_weight=0.2__seed=6__steps=10__ucb_c=0.4/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_017__and_weight=0.5__episodes=20__lev_weight=0.2__seed=6__steps=10__ucb_c=0.4/compare/details.csv,,,,6,,20,10,0.4
9,baseline_mab_prefix,8,trial_008__and_weight=0.5__episodes=20__lev_weight=0.2__seed=7__steps=10__ucb_c=0.2,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_008__and_weight=0.5__episodes=20__lev_weight=0.2__seed=7__steps=10__ucb_c=0.2/workdir/results/baseline_mab_prefix/summary.csv,283.59999999999997,30,"steps=10,iters=20,ucb_c=0.2,seed=7",/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_008__and_weight=0.5__episodes=20__lev_weight=0.2__seed=7__steps=10__ucb_c=0.2/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_008__and_weight=0.5__episodes=20__lev_weight=0.2__seed=7__steps=10__ucb_c=0.2/compare/details.csv,,,,7,,20,10,0.2
10,baseline_mab_prefix,10,trial_010__and_weight=0.5__episodes=20__lev_weight=0.2__seed=9__steps=10__ucb_c=0.2,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_010__and_weight=0.5__episodes=20__lev_weight=0.2__seed=9__steps=10__ucb_c=0.2/workdir/results/baseline_mab_prefix/summary.csv,283.4,30,"steps=10,iters=20,ucb_c=0.2,seed=9",/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_010__and_weight=0.5__episodes=20__lev_weight=0.2__seed=9__steps=10__ucb_c=0.2/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_010__and_weight=0.5__episodes=20__lev_weight=0.2__seed=9__steps=10__ucb_c=0.2/compare/details.csv,,,,9,,20,10,0.2
11,baseline_mab_prefix,19,trial_019__and_weight=0.5__episodes=20__lev_weight=0.2__seed=8__steps=10__ucb_c=0.4,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_019__and_weight=0.5__episodes=20__lev_weight=0.2__seed=8__steps=10__ucb_c=0.4/workdir/results/baseline_mab_prefix/summary.csv,283.2,30,"steps=10,iters=20,ucb_c=0.4,seed=8",/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_019__and_weight=0.5__episodes=20__lev_weight=0.2__seed=8__steps=10__ucb_c=0.4/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_019__and_weight=0.5__episodes=20__lev_weight=0.2__seed=8__steps=10__ucb_c=0.4/compare/details.csv,,,,8,,20,10,0.4
12,baseline_mab_prefix,13,trial_013__and_weight=0.5__episodes=20__lev_weight=0.2__seed=2__steps=10__ucb_c=0.4,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_013__and_weight=0.5__episodes=20__lev_weight=0.2__seed=2__steps=10__ucb_c=0.4/workdir/results/baseline_mab_prefix/summary.csv,283.09999999999997,30,"steps=10,iters=20,ucb_c=0.4,seed=2",/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_013__and_weight=0.5__episodes=20__lev_weight=0.2__seed=2__steps=10__ucb_c=0.4/compare/aggregate.csv,/home/hxy/MCTSyn/.grid_search/baseline_mab_prefix/trials/trial_013__and_weight=0.5__episodes=20__lev_weight=0.2__seed=2__steps=10__ucb_c=0.4/compare/details.csv,,,,2,,20,10,0.4
